ID,Age,Education,Marital_Status,Income,Kidhome,Teenhome,Years_As_Customer,Recency,Alcohol,Vegetables,Meat,Fish,Chocolates,Commodities,TotalSpent,NumDeals,NumWebBuy,NumWalkinPur,NumVisits,Response,Complain,Country,Count_success
1503,45,PhD,Together,162397,1,1,9.26,31,85,1,16,2,1,2,107,0,0,1,1,0,0,SP,0
1501,39,PhD,Married,160803,0,0,10.09,21,55,16,1622,17,3,4,1717,15,0,1,0,0,0,US,0
5336,50,Master,Together,157733,1,0,9.25,37,39,1,9,2,0,8,59,0,1,1,1,0,0,SP,0
8475,48,PhD,Married,157243,0,1,8.52,98,20,2,1582,1,2,1,1608,15,0,0,0,0,0,IND,0
4931,44,Graduation,Together,157146,0,0,9.35,13,1,0,1725,2,1,1,1730,0,0,0,1,0,0,SA,0
11181,72,PhD,Married,156924,0,0,9.02,85,2,1,2,1,1,1,8,0,0,0,0,0,0,CA,0
5555,46,Graduation,Divorced,153924,0,0,8.58,81,1,1,1,1,1,1,6,0,0,0,0,0,0,SP,0
4619,76,PhD,Single,113734,0,0,8.27,9,6,2,3,1,262,3,277,0,27,0,1,0,0,SP,0
4611,51,Graduation,Together,105471,0,0,9.62,36,1009,181,104,202,21,207,1724,0,9,13,3,1,0,SP,2
10089,47,Graduation,Divorced,102692,0,0,9.42,5,168,148,444,32,172,148,1112,1,6,13,2,1,0,SA,4
2798,44,PhD,Together,102160,0,0,9.84,54,763,29,138,76,176,58,1240,0,7,10,4,1,0,SA,3
7215,38,Graduation,Single,101970,0,0,9.48,69,722,27,102,44,72,168,1135,0,6,13,2,1,0,CA,3
4248,61,Master,Single,98777,0,0,8.55,23,1000,19,711,125,115,38,2008,0,4,9,1,0,0,SP,1
7451,61,Master,Single,98777,0,0,8.55,23,1000,19,711,125,115,38,2008,0,4,9,1,0,0,SP,1
500,44,Graduation,Together,96876,0,0,9.08,79,908,43,735,40,194,21,1941,1,7,9,2,1,0,SP,3
2109,31,Graduation,Single,96843,0,0,9.37,60,448,71,951,40,17,17,1544,1,6,10,2,1,0,SP,1
6815,41,2nd Cycle,Married,96547,0,0,8.29,4,448,21,125,52,101,62,809,0,7,8,2,1,0,SP,3
10619,27,Graduation,Single,95529,0,0,9.76,29,770,29,890,250,27,24,1990,1,7,7,3,1,0,SA,1
